nombreUnidadOrganizativa,dotacion,numeroVacantes,puesto,nombrePuesto
ALCALDÍA -  PRESIDENCIA,1,1,TS026,RESPONSABLE DE SEGURIDAD Y ENLACE
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE  ACTAS Y GESTIÓN DE LA J.G.L. - STAFF,1,0,JU090,JEFE/A DE UNIDAD DE  ACTAS Y GESTIÓN DE LA JUNTA DE GOBIERNO LOCAL
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE  ACTAS Y GESTIÓN DE LA J.G.L. - STAFF,1,0,JD044,JEFATURA DE DEPARTAMENTO DE  ACTAS Y GESTIÓN DE LA J.G.L.
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA,1,0,TE023,TÉCNICO/A DE PUBLICIDAD Y PATROCINIO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA,1,0,JU157,JEFATURA DE UNIDAD DE PATROCINIOS
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA,1,0,JD105,JEFE/A DE DEPARTAMENTO DE PROYECTOS Y ASISTENCIA TÉCNICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ADMINISTRACIÓN PUBLICA ELECTRÓNICA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE001,TÉCNICO/A EN COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ADMINISTRACIÓN PUBLICA ELECTRÓNICA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU092,JEFE/A DE UNIDAD DE TRANSPARENCIA Y ADMINISTRACIÓN ELECTRÓNICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ADMINISTRACIÓN PUBLICA ELECTRÓNICA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD099,JEFATURA DE DEPARTAMENTO DE ADMINISTRACIÓN PÚBLICA ELECTRÓNICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU001,INSPECTOR/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,SU008,PORTERO/A COLEGIO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE012,ADMINISTRATIVO/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,SU013,"AYUDANTE (CARPINTERO, ALBAÑIL, PINTOR, CERRAJERO, ELECTRI, MECANICO, FONTAN, JARDINERO, IMPRENTA)"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU021,SECRETARIO/A DIRECCIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU153,JEFE/A DE UNIDAD DE REGISTRO GENERAL Y ESTADÍSTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU078,JEFE/A DE UNIDAD DE OFICINA DE ATENCIÓN A LA CIUDADANIA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD021,JEFATURA DE DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TE002,ANALISTA PROGRAMADOR/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,5,3,AU008,AUXILIAR ADMINISTRATIVO DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,6,2,SU002,NOTIFICADOR/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,14,2,AU002,AUXILIAR ADMINISTRATIVO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE CARTOGRAFIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD074,JEFATURA DE DEPARTAMENTO DE CARTOGRAFIA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE CARTOGRAFIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TM013,TOPÓGRAFO/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE CARTOGRAFIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,JU126,JEFE/A DE UNIDAD DE CARTOGRAFÍA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE CARTOGRAFIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,5,0,TE005,OPERADOR/A DE INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.G. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU125,JEFE/A DE UNIDAD DE PROYECTOS S.I.G.
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.G. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD073,JEFATURA DE DEPARTAMENTO DE DESARROLLO S.I.G.
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE018,ENCARGADO DE OPERADORES DE INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU121,JEFE/A DE UNIDAD DE PROYECTOS WEB'S
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU122,JEFE/A DE UNIDAD DE PROYECTOS DE INTEGRACIÓN Y ENLACES
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU117,JEFE/A DE UNIDAD DE PROYECTOS DE GESTIÓN EXTERNA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU118,JEFE/A DE UNIDAD DE PROYECTOS DE GESTIÓN ECONÓMICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU119,JEFE/A DE UNIDAD DE PROYECTOS DE TECNOLOGÍA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD072,JEFATURA DE DEPARTAMENTO DE DESARROLLO S.I.M.
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,3,0,TM009,TÉCNICO/A MEDIO DE INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE DESARROLLO S.I.M. - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,5,0,TS023,TÉCNICO/A SUPERIOR INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU005,AUXILIAR DE COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE001,TÉCNICO/A EN COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU207,JEFE/A DE UNIDAD DE GESTIÓN DE LA COMUNICACIÓN INSTITUCIONAL EN REDES SOCIALES
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD085,JEFATURA DE DEPARTAMENTO DE GABINETE DE PRENSA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,AU008,AUXILIAR ADMINISTRATIVO DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GABINETE DE PRENSA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,7,0,TS008,TÉCNICO/A SUPERIOR COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU021,SECRETARIO/A DIRECCIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TS017,TÉCNICO/A DE ADMINISTRACIÓN GENERAL
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD098,JEFATURA DE DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TS001,TÉCNICO/A  OFICINAS DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,JU197,JEFE/A DE UNIDAD DE GESTIÓN JURÍDICA DE ENTIDADES DEL SECTOR PÚBLICO MUNICIPAL
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,2,0,AU002,AUXILIAR ADMINISTRATIVO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,2,2,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,3,0,TE012,ADMINISTRATIVO/A
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,AU002,AUXILIAR ADMINISTRATIVO
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,TE012,ADMINISTRATIVO/A
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,AU008,AUXILIAR ADMINISTRATIVO DE COORDINACIÓN
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,TS002,TÉCNICO/A SUPERIOR DE GESTIÓN Y/O ATENCION SOCIAL
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,JU206,JEFE/A DE UNIDAD DE IMPRENTA
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",1,0,JD054,"JEFATURA DE DEPARTAMENTO DE IMPRENTA, IMAGEN Y COMUNICACIÓN"
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",2,0,TS008,TÉCNICO/A SUPERIOR COMUNICACIÓN
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",2,1,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",3,0,SU013,"AYUDANTE (CARPINTERO, ALBAÑIL, PINTOR, CERRAJERO, ELECTRI, MECANICO, FONTAN, JARDINERO, IMPRENTA)"
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",4,1,AU009,AUXILIAR DE DISEÑO (IMPRENTA)
"ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO",6,2,AU015,"OFICIAL PRIMERA  OFICIOS (CAPATAZ, CARPINTERO, ALBAÑIL, PINTOR, CERRAJERO, ELECTRI, MECANICO, FONTAN, JARDINERO,IMPRENTA, SEPULTURERO, TALADOR)"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU026,AGENTE DE PUBLICIDAD Y PATROCINIO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE001,TÉCNICO/A EN COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE012,ADMINISTRATIVO/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TE021,TÉCNICO/A DE PRODUCCIÓN
