"areaGobierno","delegacion","servicio","departamento","nivelPuesto","zz","nombrePuesto","tipoPuesto","tipoPersonal","formaProvision","adscripciongrupos","adcripcionescalas","nivelComplementoDestino","complementoEspecificoEuros","observaciones","requisitos","situacion"
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,,"TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,,"TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,,"TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,,"TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU014","AYUDANTE EDUCADOR/A","NS","F","C","C2",,1419,7536,,"TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA","TE","TE023","TÉCNICO/A DE PUBLICIDAD Y PATROCINIO","NS","L","C","C1",,16195,7735,,"TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","STAFF ALCALDIA","SECRETARIA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
