ID;Parent_ID;Tipo_Organo
999999;;Ayuntamiento
2;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
3;2;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
4;3;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
5;4;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
6;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
7;6;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
8;7;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
9;8;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
10;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
11;10;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
12;11;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
13;12;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
14;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
15;14;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
16;15;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
17;16;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
18;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
19;18;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
20;19;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
21;20;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
22;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
23;22;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
24;23;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
25;24;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
26;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
27;26;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
28;27;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
29;28;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
30;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
31;30;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
32;31;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
33;32;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
34;999999;ALCALDIA PRESIDENCIA
35;34;ALCALDIA PRESIDENCIA
36;35;ALCALDIA PRESIDENCIA
37;36;DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA
38;999999;ALCALDIA PRESIDENCIA
39;38;ALCALDIA PRESIDENCIA
40;39;STAFF
41;40;SECRETARIA
42;999999;ALCALDIA PRESIDENCIA
43;42;ALCALDIA PRESIDENCIA
44;43;STAFF
45;44;SERVICIO DE APOYO ADMINISTRATIVO AL TRIBUNAL DE LAS RECLAMACIONES ECONÓMICO-ADMINISTRATIVAS Y DEL TRIBUNAL ESPECIAL EN MATERIA DE CONTRATACIÓN
46;999999;ALCALDIA PRESIDENCIA
47;46;ALCALDIA PRESIDENCIA
48;47;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
49;48;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
50;999999;ALCALDIA PRESIDENCIA
51;50;ALCALDIA PRESIDENCIA
52;51;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
53;52;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
54;999999;ALCALDIA PRESIDENCIA
55;54;ALCALDIA PRESIDENCIA
56;55;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
57;56;DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA
58;999999;ALCALDIA PRESIDENCIA
59;58;ALCALDIA PRESIDENCIA
60;59;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
61;60;DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA
62;999999;ALCALDIA PRESIDENCIA
63;62;ALCALDIA PRESIDENCIA
64;63;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
65;64;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
66;999999;ALCALDIA PRESIDENCIA
67;66;ALCALDIA PRESIDENCIA
68;67;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
69;68;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
70;999999;ALCALDIA PRESIDENCIA
71;70;ALCALDIA PRESIDENCIA
72;71;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
73;72;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
74;999999;ALCALDIA PRESIDENCIA
75;74;ALCALDIA PRESIDENCIA
76;75;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
77;76;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
78;999999;ALCALDIA PRESIDENCIA
79;78;ALCALDIA PRESIDENCIA
80;79;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
81;80;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
82;999999;ALCALDIA PRESIDENCIA
83;82;ALCALDIA PRESIDENCIA
84;83;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
85;84;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
86;999999;ALCALDIA PRESIDENCIA
87;86;ALCALDIA PRESIDENCIA
88;87;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
89;88;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
90;999999;ALCALDIA PRESIDENCIA
91;90;ALCALDIA PRESIDENCIA
92;91;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
93;92;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
94;999999;ALCALDIA PRESIDENCIA
95;94;ALCALDIA PRESIDENCIA
96;95;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
97;96;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
98;999999;ALCALDIA PRESIDENCIA
99;98;ALCALDIA PRESIDENCIA
100;99;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
101;100;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
102;999999;ALCALDIA PRESIDENCIA
103;102;ALCALDIA PRESIDENCIA
104;103;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
105;104;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
106;999999;ALCALDIA PRESIDENCIA
107;106;ALCALDIA PRESIDENCIA
108;107;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
109;108;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
110;999999;ALCALDIA PRESIDENCIA
111;110;ALCALDIA PRESIDENCIA
112;111;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
113;112;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
114;999999;ALCALDIA PRESIDENCIA
115;114;ALCALDIA PRESIDENCIA
116;115;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
117;116;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA
118;999999;ALCALDIA PRESIDENCIA
119;118;ALCALDIA PRESIDENCIA
120;119;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
121;120;DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN
122;999999;ALCALDIA PRESIDENCIA
123;122;ALCALDIA PRESIDENCIA
124;123;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
125;124;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ
126;999999;ALCALDIA PRESIDENCIA
127;126;ALCALDIA PRESIDENCIA
128;127;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
129;128;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ
130;999999;ALCALDIA PRESIDENCIA
131;130;ALCALDIA PRESIDENCIA
132;131;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
133;132;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ
134;999999;ALCALDIA PRESIDENCIA
135;134;ALCALDIA PRESIDENCIA
136;135;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
137;136;SERVICIO DE ASISTENCIA JURÍDICA Y DERECHO A LA INFORMACION
138;999999;ALCALDIA PRESIDENCIA
139;138;ALCALDIA PRESIDENCIA
140;139;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
141;140;SERVICIO DE INFORMÁTICA Y SISTEMA DE INFORMACIÓN MUNICIPAL
142;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
143;142;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
