id_departamento;Puesto;Nombre;TipoPuesto;tipoPersonal;formaProvision;adcripcionGrupos;adcripcionEscalas;nivelComplementoDestino;complementoEspecificoPuntos;complementoEspecificoEuros;observacionesRequisitos;situacion
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0, AERL;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0, AERL;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0, AERL;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0;CUBIERTO
33;AU014;AYUDANTE EDUCADOR/A;AU;F;-;C2;-;14;190;7536;TA-0;CUBIERTO
37;TE023;TÉCNICO/A DE PUBLICIDAD Y PATROCINIO;TE;L;-;C1;-;16;195;7735;TA-0;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;VACANTE
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
780;AU002;AUXILIAR ADMINISTRATIVO;AU;F/L;-;C2;A.G.;15;195;7735;TA-0, AERL;CUBIERTO
